Artist;Exhibition Title ;Date;Gender;;;
Alexander Calder;Alexander Calder: Performing Sculpture [November 11, 2015- April 3, 2016];2015;(Male);;;
Robert Mapplethorpe;Artist rooms: Robert Mapplethorpe: County Durham [November 28, 2015- April 24, 2016];2015;(Male);;;
Rachel Maclean;Art Now: Rachel Maclean: Wot u :-) about? (15.11.16-09.04.17);2016;(Female);;;
Sophie Michael;Art Now: Sophie Michael: Trip (the light fantastic) (11.07.16-30.10.16);2016;(Female);;;
Anne Teresa De Keersmaeker;Anne Teresa De Keersmaeker: Work/ Travail/ Arbeid [July 8, 2016-July 10, 2016];2016;(Female);;;
Georgia O’Keeffe;Georgia O’Keeffe (06.07.16-30.10.16);2016;(Female);;;
Mona Hatoum;Mona Hatoum [May 4, 2016- August 21, 2016];2016;(Female);;;
Cécile B. Evans;Cécile B. Evans (21.10.16-19.03.17);2016;(Female);;;
Ella Kruglyanskaya;Ella Kruglyanskaya (18.05.16-18.09.16);2016;(Female);;;
Maria Lassnig;Maria Lassnig (18.05.16-18.09.16);2016;(Female);;;
Andy Warhol;Artist rooms: Andy Warhol [March 19, 2016- June 12, 2016];2016;(Male);;;
Pablo Bronstein;Pablo Bronstein: Historical Dances in an Antique Setting: The Tate Britain Commission 2016 (26.04.16-09.10.16);2016;(Male);;;
Paul Nash;Paul Nash (26.10.16-05.03.17);2016;(Male);;;
Bhupen Khakhar;Bhupen Khakhar: You Can’t Please All (01.06.16-06.11.16);2016;(Male);;;
Robert Rauschenberg ;Robert Rauschenberg (01.12.16-02.04.17);2016;(Male);;;
Wifredo Lam ;The EY Exhibition: Wifredo Lam (14.09.16-08.01.17);2016;(Male);;;
Edward Krasiński;Edward Krasiński (21.10.16-05.03.17);2016;(Male);;;
Francis Bacon;Francis Bacon: Invisible Rooms (18.05.16-18.09.16);2016;(Male);;;
Yves Klein;Yves Klein (21.10.16-05.03.17);2016;(Male);;;
Marguerite Humeau;Art Now: Marguerite Humeau: Echoes [November 18, 2017- April 15, 2018];2017;(Female);;;
Rachel Whiteread;Rachel Whiteread [September 12, 2017- January 24, 2018];2017;(Female);;;
Fahrelnissa Zeid;Fahrelnissa Zeid (13.06.17-08.10.17);2017;(Female);;;
Rebecca Warren;Rebecca Warren: All That Heaven Allows – New and Recent Works [October 14, 2017- January 7, 2018];2017;(Female);;;
Jessica Warboys;Jessica Warboys (31.03.17-03.09.17);2017;(Female);;;
Judy Chicago;Judy Chicago: Fixing a Hole (23.06.17-18.09.17);2017;(Female);;;
Aleksandra Mir;Aleksandra Mir: Space Tapestry (23.06.17-15.10.17);2017;(Female);;;
Louise Bourgeois;Artist rooms: Louise Bourgeois (01.09.17-18.11.17);2017;(Female);;;
David Hockney;David Hockney (09.02.17-29.05.17);2017;(Male);;;
Alan Kane;Home For Christmas: A Commission for Tate Britain by Alan Kane [December 1, 2017- January 4, 2018];2017;(Male);;;
Simeon Barclay;Art Now: Simeon Barclay: The Hero Wears Clay Shoes (07.07.17-05.11.17);2017;(Male);;;
Cerith Wyn Evans;Cerith Wyn Evans: The Tate Britain Commission 2017 (28.03.17-20.08.17);2017;(Male);;;
Amedeo Modigliani;Modigliani [November 23, 2017- April 2, 2018];2017;(Male);;;
Alberto Giacometti;Giacometti (10.05.17-10.09.17);2017;(Male);;;
John Piper;John Piper [November 17, 2017- March 18, 2018];2017;(Male);;;
Richard Long;Artist rooms: Richard Long: Drawn from the Land [December 2, 2017 – March 4, 2018];2017;(Male);;;
Wolfgang Tillmans;Wolfgang Tillmans: 2017 (15.02.17-11.06.17);2017;(Male);;;
Ellsworth Kelly;Ellsworth Kelly in Focus (03.04.17-29.05.17);2017;(Male);;;
Joseph Beuys;Artist rooms: Joseph Beuys [October 13, 2017 – January 21, 2018];2017;(Male);;;
Ed Ruscha;Artist rooms: Music from the Balconies: Ed Ruscha and Los Angeles (29.04.17-29.04.18);2017;(Male);;;
Don McCullin;Artist rooms: Don McCullin (26.08.17-19.11.17);2017;(Male);;;
Lisa Brice;Art Now: Lisa Brice [April 26, 2018- August 27, 2018];2018;(Female);;;
Joan Jonas;Joan Jonas [March 14, 2018- August 5, 2018];2018;(Female);;;
Monster Chetwynd ;Tate Britain Winter Commission: Monster Chetwynd (01.12.18-10.02.19);2018;(Female);;;
Anthea Hamilton;Anthea Hamilton: The Squash (22.03.18-07.10.18);2018;(Female);;;
Virginia Woolf;Virginia Woolf: An Exhibition Inspired by Her Writings [February 10, 2018- April 29, 2018];2018;(Female);;;
Anni Albers;Anni Albers (11.10.18-27.01.19);2018;(Female);;;
Diane Arbus;Artist rooms: Diane Arbus [March 17, 2018- June 11, 2018];2018;(Female);;;
Vija Celmins;Artist rooms: Vija Celmins [February 2, 2018- May 6, 2018];2018;(Female);;;
Tania Bruguera;Hyundai Commission: Tania Bruguera: 10,148,451 (02.10.18-24.02.19);2018;(Female);;;
Jenny Holzer;Artist rooms: Jenny Holzer (23.07.18-07.07.19);2018;(Female);;;
Amie Siegel;Amie Siegel: Provenance (20.10.18-06.05.19);2018;(Female);;;
Agnes Martin;Artist rooms: Agnes Martin (07.07.18-07.10.18);2018;(Female);;;
Ken Simons;Ken's Show: Exploring the Unseen [March 30, 2018- June 17, 2018];2018;(Male);;;
Edward Burne-Jones;Edward Burne-Jones (24.10.18-24.02.19);2018;(Male);;;
Christian Marclay;Christian Marclay: The Clock (14.09.18-20.01.19);2018;(Male);;;
Pablo Picasso;The EY Exhibition: Picasso 1932 – Love, Fame, Tragedy (08.03.18-09.09.18);2018;(Male);;;
Patrick Heron;Patrick Heron (19.05.18-30.09.18);2018;(Male);;;
Alex Katz;Artist rooms: Alex Katz (23.11.18-10.03.19);2018;(Male);;;
Fernand Léger;Fernand Léger: New Times, New Pleasures (23.11.18-17.03.19);2018;(Male);;;
Gerhard Richter;Artist rooms: Gerhard Richter [May 12, 2018- August 18, 2018];2018;(Male);;;
Ugo Rondinone;Ugo Rondinone: Liverpool Mountain (23.10.18-31.10.23);2018;(Male);;;
Richard Long;Artist rooms: Richard Long (26.05.18-16.09.18);2018;(Male);;;
Douglas Gordon;Artist rooms: Douglas Gordon (02.06.18-02.09.18);2018;(Male);;;
Robert Mapplethorpe;Artist rooms: Robert Mapplethorpe (15.12.18-23.03.19);2018;(Male);;;
Anselm Kiefer;Artist rooms: Anselm Kiefer (19.10.18-27.01.19);2018;(Male);;;
Bill Viola;Artist rooms: Bill Viola (19.09.18-15.12.18);2018;(Male);;;
Lawrence Weiner;Artist rooms: Lawrence Weiner (02.11.18-17.02.19);2018;(Male);;;
Jesse Darling;Art Now: Jesse Darling: The Ballad of Saint Jerome (22.09.18-24.02.19);2018;(Non-Binary);;;
France-Lise McGurn;Art Now: France-Lise McGurn: Sleepless (29.06.19-08.09.19);2019;(Female);;;
Joanna Piotrowska;Art Now: Joanna Piotrowska: All Our False Devices (08.03.19-09.06.19);2019;(Female);;;
Anne Hardy;Tate Britain Winter Commission: Anne Hardy [November 30, 2019- January 26, 2020];2019;(Female);;;
Sophia Al-Maria;Art Now: Sophia Al-Maria: Beast Type Song [September 20, 2019- February 23, 2020];2019;(Female);;;
Anne Imhof;BMW Tate Live Exhibition: Anne Imhof: Sex (22.03.19-31.03.19);2019;(Female);;;
Dora Maar;Dora Maar [November 20, 2019- March 15, 2020];2019;(Female);;;
Dóra Maurer;Dóra Maurer (05.08.19-14.01.21);2019;(Female);;;
Dorothea Tanning;Dorothea Tanning (27.02.19-09.06.19);2019;(Female);;;
Natalia Goncharova;Natalia Goncharova (06.06.19-08.09.19);2019;(Female);;;
Kara Walker;Hyundai Commission: Kara Walker [October 2, 2019- February 7, 2021];2019;(Female);;;
Anna Boghiguian;Anna Boghiguian (08.02.19-06.05.19);2019;(Female);;;
Huguette Caland;Huguette Caland (24.05.19-01.09.19);2019;(Female);;;
Sol Calero;Sol Calero: El Autobús (14.06.19-10.11.19);2019;(Female);;;
Louise Bourgeois;Artist rooms: Louise Bourgeois (22.01.19-24.03.19);2019;(Female);;;
Otobong Nkanga;Otobong Nkanga: From Where I Stand [September 21, 2019 - January 5, 2020];2019;(Female);;;
Vivian Suter;Vivian Suter [December 13, 2019- March 15, 2020];2019;(Female);;;
Diane Arbus;Artist rooms: Diane Arbus [September 20, 2019- December 1, 2019];2019;(Female);;;
Vija Celmins;Artist rooms: Vija Celmins [September 21, 2019- November 16, 2019];2019;(Female);;;
Don McCullin;Don McCullin (05.02.19-06.05.19);2019;(Male);;;
Mark Leckey;Mark Leckey: O' Magic Power of Bleakness [September 24, 2019- January 5, 2020];2019;(Male);;;
Vincent van Gogh;The EY Exhibition: Van Gogh and Britain (27.03.19-11.08.19);2019;(Male);;;
Frank Bowling;Frank Bowling (31.05.19-26.08.19);2019;(Male);;;
Mike Nelson;Tate Britain Commission: Mike Nelson: The Asset Strippers (18.03.19-06.10.19);2019;(Male);;;
Pierre Bonnard;The C C Land Exhibition: Pierre Bonnard: The Colour of Memory (23.01.19-06.05.19);2019;(Male);;;
Steve McQueen;Steve McQueen Year 3 [November 12, 2019- January 31, 2021];2019;(Male);;;
William Blake;William Blake [September 11, 2019- February 2, 2020];2019;(Male);;;
Franz West;Franz West (20.02.19-02.06.19);2019;(Male);;;
Olafur Eliasson;Olafur Eliasson: In real life (11.07.19-05.01.20);2019;(Male);;;
Olafur Eliasson;Olafur Eliasson: The cubic structural evolution project (26.07.19-18.08.19);2019;(Male);;;
Nam June Paik;Nam June Paik [October 17, 2019- February 9, 2020];2019;(Male);;;
Takis;Takis (03.07.19-27.10.19);2019;(Male);;;
Allard Van Hoorn;In Focus: Allard Van Hoorn: Urban Songlines 2009–19 (24.05.19-01.09.19);2019;(Male);;;
Keith Haring;Keith Haring (14.06.19-10.11.19);2019;(Male);;;
Roy Lichtenstein;Artist rooms: Roy Lichtenstein [September 28, 2019- January 4, 2020];2019;(Male);;;
Mikhail Karikis;Mikhail Karikis: Children of Unquiet [September 21, 2019- January 5, 2020];2019;(Male);;;
Thomas Duggan;Half Term: Thomas Duggan: Alchemy in Art [October 19, 2019- November 3, 2019];2019;(Male);;;
Roy Lichtenstein;Artist rooms: Roy Lichtenstein (13.07.19-07.09.19);2019;(Male);;;
Alex Katz;Artist rooms: Alex Katz (30.05.19-16.06.19);2019;(Male);;;
Theaster Gates;Theaster Gates: Amalgam [December 13, 2019- May 3, 2020];2019;(Male);;;
August Sander;Artist rooms: August Sander [October 26, 2019- March 1, 2020];2019;(Male);;;
