Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
P81760;ARTISTS' BRIGADE,;"The Results of the First Five-Year Plan and the
Objectives of the Second Five-Year Plan:
Communism is Soviet Power Plus the
Electrification of the Whole Country";1933;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81761;ARTISTS' BRIGADE,;"The Results of the First Five-Year Plan and the
Objectives of the Second Five-Year Plan: Newly-Trained Technicians for the Socialist Economy";1933;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81764;ARTISTS' BRIGADE,;"The Results of the First Five-Year Plan and the
Objectives of the Second Five-Year Plan: To
Implement Chemistry in All Branches of the
Economy";1933;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81966;ARTISTS' BRIGADE,;"The Capitalist Elements of the Town and Country
Have Been Smashed. The Foundations of a
Socialist Economics Have Been Built. The
Victory of Socialism in the USSR is Ensured.";1933;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81763;ARTISTS' BRIGADE,;"The Results of the First Five-Year Plan and the
Objectives of the Second Five-Year Plan: Speed
Up the Output of Soviet Engineering";1933;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81792;"attributed to KUSTODIEV,
Boris 1878-1927";10 Years of the Soviet State in Pictures;1927;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81755;AVILOV, Mikhail 1882-1954;1905;1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81867;AVVAKUMOV, Nikolai 1908-194;Long Live Our Teacher, Our Father, Our Leader, Comrade Stalin!;1946;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81886;BABIN, Nikolai born 1931;"Party - Mind, Pride and Conscience of Our
Epoch!";1970s;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81862;BELOPOLSKY, Boris 1909-1978;We Stand for Peace and Defend the Work of Peace' (Joseph Stalin);1952;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81837;"BELSKII, L.; POTAPOV, V.";The Fight Continues. Angola Will Win!;1983-4;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81838;"BELSKII, L.; POTAPOV, V.";The Fight Continues. Angola Will Win!;1984;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81673;"BEREZOVSKY, Boris 1910-1977
";KPSS - Glory!;1962;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81874;"BEREZOVSKY, Boris 1910-1977
";15th CPSU Congress. The Decisions of the Congress of Our Beloved Party - We Will Deliver!;1976;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81875;"BEREZOVSKY, Boris 1910-1977
";15th CPSU Congress. The Decisions of the Congress of Our Beloved Party - We Will Deliver!;1976;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81723;"BEREZOVSKY, Boris 1910-1977
SOLOVIEV, Mikhail 1905-1991
SHAGIN, Ivan 1904-1982";Under the Leadership of the Great Stalin - Forward to Communism!;1951;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81753;BOROVKOV, M;Together to the Polls!;1929;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81690;BRODOT,;Socialist Revolutionaries;1917;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81843;BRODSKY, Isaak 1883-1939;Vladimir Lenin in Smolny;1969;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81661;"BUBNOV, Aleksandr
1908-1964";Young Partizanka (Tass window poster no.469);c.1942-3;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81881;CHEREMNYKH, Mikhail;The Holy Ghost Bestows Precious Gifts on the Apostles;1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81706;CHERKES, Daniil 1899-1971;"For the Builders of a Socialist Industry - Culturally
Socialist Cities";1932;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81741;DENI, Viktor 1893-1946;A Pig Trained in Paris;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81642;DENI, Viktor 1893-1946;Capitalists of the World, Unite!;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81693;DENI, Viktor 1893-1946;"The Butchers are Torturing Ukraine - Death to
the Butchers!";1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81713;DENI, Viktor 1893-1946;GPU - Counter-Revolutionary Pest;1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81775;DENI, Viktor 1893-1946;Capital;1924;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81646;DLUGACH, Mikhail 1893-1988;We are from Kronstadt;1920-9;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81872;DOBROV, Aleksandr;Toward Communism! Work with Determination and Inspiration!;1961;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81850;DOLGORUKOV, Nikolai;Long Live the Great, Undefeated Banner of Marx, Engels, Lenin!;1939;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81835;FERSTER, A. V.;Air Fleet;1925;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81905;FISHER, G.;Georgian Soviet Socialist Republic;1967;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81906;FISHER, G.;Lithuanian Soviet Socialist Republic;1967;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81907;FISHER, G.;Tajik Soviet Socialist Republic;1967;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81768;GADIELIO, F;"Proletarians of all Countries, Unite! Marx Engels
Lenin Stalin";1940s;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81851;"GERASIMOV, Aleksandr
1881-1963";"I. V. Stalin and K. E. Voroshilov in the Kremlin
After the Rain";1930s;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81702;"GERASIMOVICH, Iosif
1894-1982";The Mullah's Third Wife;1928;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81908;"GERASIMOVICH, Iosif
1894-1982";Anna Sabo;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81709;GLIK, M.;Lenin, Stalin;1934;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81666;"GORPENKO, Anatolii
1916-1980";Glory to Stalin's Guards!;1945;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81904;GOVORKOV, Viktor 1906- Phrases and... Bases;Phrases and... Bases;1952;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P82036;GOVORKOV, Viktor 1906- Thank You Beloved Stalin For Our Happy;Thank You Beloved Stalin For Our Happy Childhood!;20th C;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81746;GRUN, O.;The Book Will Teach You How to Run Your Farm;1922;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81711;GUSHCHIN, V.D.;Everybody Sign up as a Shockworker;1932;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81656;IGUMNOV, Sergei 1900-;We will Eradicate the Spies and Saboteurs, the Trotskyist-Bukharinist Agents of Fascism!;1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81767;IVANOV, Konstantin 1921- We are Heading towards Communism Along;We are Heading towards Communism Along Lenin's Path!;1951;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81667;"IVANOV, Konstantin 1921- For Peace, For People's Democracy!
2003";For Peace, For People's Democracy!;1948;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81951;IVANOV, Sergei 1885-;A Book is Nothing but a Person Speaking Publicly;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81716;IVANOV, Viktor 1909-;We Will Complete the Five-Year Plan in Four Years!;1948;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81664;IVANOV, Viktor 1909-1968;Death to the Child Killers!;1940-1;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81771;IVANOV, Viktor 1909-1968;The Great Stalin Is the Light of Communism!;1949;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81727;IVANOV, Viktor 1909-1968;To the West!;1943;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81662;"IVANOV, Viktor 1909-
1968
BUROVA, Olga born 1911";All Hope Lies with You, Red Soldier!;1943;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81782;KAZYMOV, K.;Don't Chatter!;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81860;KHALDEI, Yevgeny 1917-1997;Raising a Flag over the Reichstag;1945, printed 1995;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81703;"KHALYKOV, Gazanfar
1898-1981";145,330 Tonnes of Cotton;c.1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81898;KHAZOV,;In the Third Year of the Five Year Plan We Need to Reduce Production Costs by 10% the Bolshevik Way;1931;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81807;KHMELKO, Mikhail 1919-1996;The Triumph of the Victorious Motherland;1951;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81668;"KHRAPOVITSKY,
Vladimir born 1905";Long Live the All-Union Day of Physical Culture;1947;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81647;KIBARDIN, Georgii 1903-;We Are Building a Fleet of Airships in the Name of Lenin;1931;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81929;KING, David 1943-2016;"Photograph of A. A. Tsexer by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81930;KING, David 1943-2016;"Photograph of A. A. Tsexer, defaced, Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81931;KING, David 1943-2016;Photograph of Akmal Ikramov;1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81932;KING, David 1943-2016;"Photograph of Akmal Ikramov, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81933;KING, David 1943-2016;"Photograph of Faizulla Khodzhaev by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81934;KING, David 1943-2016;"Photograph of Faizulla Khodzhaev, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81935;KING, David 1943-2016;"Photograph of D. Abidova by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81936;KING, David 1943-2016;"Photograph of D. Abidova, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81937;KING, David 1943-2016;"Photograph of Yan Rudzutak by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81938;KING, David 1943-2016;"Photograph of Yan Rudzutak, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81939;KING, David 1943-2016;"Photograph of Yakov Peters by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81940;KING, David 1943-2016;"Photograph of Yakov Peters, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81941;KING, David 1943-2016;"Photograph of Isaak Zelenskii by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81942;KING, David 1943-2016;"Photograph of Isaak Zelenskii, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81943;KING, David 1943-2016;"Photograph of A. Karimov by Alexander
Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81944;KING, David 1943-2016;"Photograph of A. Karimov, defaced, by
Alexander Rodchenko, 1937 (From Ten Years of
Uzbekistan)";1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81945;KING, David 1943-2016;Photograph from Ten Years of Uzbekistan;1937;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81665;KLIMASHIN, Viktor 1912-1960;Saluting Stalin's Artillery!;1946;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81649;KLUTSIS, Gustav 1895-1938;Raise Higher the Banner of Marx, Engels, Lenin, and Stalin! Under the Banner of Marx, Engels, Lenin and Stalin!;1933;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81720;KLUTSIS, Gustav 1895-1938;Long Live the USSR - Blueprint for the Brotherhood of All Working Classes of All the World's Nationalities!;1935;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81648;KLUTSIS, Gustav 1895-1938;Long Live Stalin's Breed of Stakhanovite Heroes!;1935;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81717;KLUTSIS, Gustav 1895-1938;For Socialist Construction Under the Banner of Lenin Under the Banner of Lenin for Socialist Construction;1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81719;KLUTSIS, Gustav 1895-1938;Long Live the USSR - Blueprint for the Brotherhood of All Working Classes of All the World's Nationalities!;1935;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81653;KLUTSIS, Gustav 1895-1938;Long Live Our Happy Socialist Land. Long Live Our Beloved Leader, the Great Stalin!;1935;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81718;KLUTSIS, Gustav 1895-1938;The USSR is the Shockworkers' Brigade of the World Proletariat;1931;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81784;KLUTSIS, Gustav 1895-1938;NEP Russia will become Socialist Russia (Lenin);1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81639;"KOCHERGIN, Nikolai
1897-1974";Workers of the World Unite!;1919;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81692;KOCHERGIN, Nikolai1897-1974;Enemy at the Gates!!! All to the Defence of Petrograd;c.1919;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81754;KOGOUT, Nikolai 1891-1959;Bread to the Factories - Peasants, Strengthen the Power of Our Factories;1929;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81645;KOGOUT, Nikolai 1891-1959;We Defeated Our Enemy with Weapons - With Hard Work We Will Get Our Bread. Everyone To Work, Comrades!;c.1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81917;KOGOUT, Nikolai 1891-1959;Proletarians of All Countries, Unite!;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81663;KORETSKY, Viktor 1909-1998;Red Army Soldier, Save Us!;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81770;KORETSKY, Viktor 1909-1998;The Power of the Councils Is the Power of the People!;1947;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81725;KORETSKY, Viktor 1909-1998;Collective Farmers, Workers of Machine Tractor Stations and State Farms;1939;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81670;KORETSKY, Viktor 1909-1998;In the Land of Capitalism...The Destiny of Their Talent. In the Land of Socialism...The Destiny of Our Talent!;1948;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81766;KORETSKY, Viktor 1909-1998;Them... Us;1941;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81726;KORETSKY, Viktor 1909-1998;Red Army Soldier, Save Us!;1943;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81778;KORETSKY, Viktor 1909-1998;Soldier, Liberate Your Belorussia!;1943;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81876;KORETSKY, Viktor 1909-1998;We Will Not Be Intimidated!;1984;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81877;KORETSKY, Viktor 1909-1998;Communist and Workers' Parties Will Develop International Cooperation and Solidarity On the Foundation of the Great Ideas of Marx, Engels, Lenin;1976;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81947;KORETSKY, Viktor 1909-1998;All That the Party Has Planned, We Will Fulfil With Pride!;1976;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81848;KORETSKY, Viktor 1909-1998;Join the Ranks of the Friends of the Front;1941;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81772;KORETSKY, Viktor 1909-1998;"Glory to the Great Soviet People - The Builders
of Communism!";1955;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81756;"SAVOSTIUK, Oleg
USPENSKII, Boris
KOROBOV, Alexander
1905-1977
ANDERSON, Valdemar";Ten Years of the Profintern;1930;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81916;KOSSOV, A.;"Long Live the Great Invincible Banner of Marx,
Engels, Lenin, Stalin";1953;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81650;KOZLINSKII, Vladimir;RSFSR (The Russian Socialist Federative Soviet Republic);1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81903;KRUZHKOV, Ilya;"Mothers of the Whole World! Be in the Vanguard
of Fighters for Peace!";1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
T14811;"KUPRIYANOV, Mikhail
1903-1991";A Thunderous Blow (TASS poster no.504);1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81691;KUSTODIEV, Boris 1878-1927;Communist International;1919;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81896;LAVROV, L.;We Will Defend Peace!;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81675;LEBEDEV, Alexander;"All-Russian Agricultural and Industrial Crafts
Exhibition";1923;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81655;LEBESHEV, Boris born;Long Live Stalin, The First Marshal of Communism!;1939;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P82037;"MAJEWSKI, Lech born
1947";Vladimir Lenin;20th C;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81707;MALAKHOV, V.;Ten Years of Komi;c.1930;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81644;MAYAKOVSKY, Vladimir1893-1930;Ukrainians and Russians have a Common War Cry - Pan will not be the Master of the Worker!;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81729;"MAYAKOVSKY, Vladimir
1893-1930";Mayakovsky: 20 Years of the Work;1929;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81728;MEDVEDJEVS,;Long Live the Thirtieth Anniversary of the Great October Revolution!;1947;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81739;MELNIKOV, Dmitrii 1899-;Down with Capital, Long Live the Dictatorship of the Proletariat! 1917-1920;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81654;"MIRZOIAN, Ashot
IVANOV, Viktor 1909-1968";Bash the Kulak off the Kolkhoz;c.1930;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81871;MITRIN, S.;From February to October;c.1918;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81686;MOOR, Dmitrii 1883-1946;The Path of Lenin is the Path of Revolution;1931;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81695;MOOR, Dmitrii 1883-1946;Be on Guard!;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81731;MOOR, Dmitrii 1883-1946;"Proletarians of All Countries, Unite. Long Live the
International Army of Labour. Only Commanders
from the People will Lead the Red Army to
Victory";1918;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81640;MOOR, Dmitrii 1883-1946;"Comrade Mussulman! Under the Green Banner
of the Prophet you fought for your land and
villages. But the enemies of the people took your
land. Now, under the banner of the workers' and
peasants' revolution, under the star of the army
of all oppressed and working people, join us from
the east and west, north and south. Saddle up,
comrades! Everyone to the Enlightenment!";1919;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81641;MOOR, Dmitrii 1883-1946;The Birds of the Tsar;c.1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81643;MOOR, Dmitrii 1883-1946;Death to World Imperialism;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81780;MOOR, Dmitrii 1883-1946;May Day - All-Russian Subbotnik;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81817;MOOR, Dmitrii 1883-1946;White Army Guards and a Deserter;1919-20;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81918;MOOR, Dmitrii 1883-1946;The Path of Lenin is the Path of the Revolution;1931;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81887;MOOR, Dmitrii 1883-1946;"Comrades! With Rifle and Hammer, Let Us
Celebrate Red October";1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81895;MOOR, Dmitrii 1883-1946;Cossack! Turn Your Horse Around;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81897;MOOR, Dmitrii 1883-1946;The Tsarist Regiments and the Red Army;1921;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81910;MORDVINOV,;Socialist Productivity Form;1934;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81891;MOUNT, Reginald 1906-1979;From the British People. To Victory! We Are with You! No. 2;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81892;MOUNT, Reginald 1906-1979;From the British People. To Victory! We Are with You! No. 3;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81893;MOUNT, Reginald 1906-1979;From the British People. To Victory! We Are with You! No. 1;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81894;MOUNT, Reginald 1906-1979;From the British People. To Victory! We Are with You! No. 4;1942;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81657;MUCHNIK, G;"The Politburo of the Central Committee of the
Communist Party of the Soviet Union";1940;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81671;NESTEROVABEREZINA, Maria 1897-1965;USSR - Long Live the All-Conquering Banner of Leninism;1957;2016-2017 (DKC);purchased;""""; -     ; (Female) ;
P81913;NESTEROVABEREZINA, Maria 1897-1965;Long Live the Fraternal Union and Unbreakable Friendship between the Peoples of the USSR!;1945;2016-2017 (DKC);purchased;""""; -     ; (Female) ;
P81674;OROSZ, Istvan born 1951;Comrades, it's Over!;1989;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81810;PENZOV, Ivan 1928-2000;Leonid Il'yich Brezhnev;1977;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
T14808;PICHUGIN, Sergei 1881-1971;Portrait of Leon Trotsky;1923;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81669;PRAVDIN, Vladislav 1911-1979;Long Live the Bolshevik Party, the Party of Lenin and Stalin, the Battle-Hardened Vanguard of the Soviet People, the Inspiration and Organisers of Our Victory!;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81959;PROROKOV, Boris 1911-72;Stalin Is Peace! Stalin - eto mir!;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81960;PROROKOV, Boris 1911-72;Truman's Tanks to the Bottom! Tanki trymena na dno!;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81961;PROROKOV, Boris 1911-72;Korea to the Koreans! Protest in New York Koreya - Koreitsam! Miting b N'u-Iorke;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81962;PROROKOV, Boris 1911-72;We Swear that the French People will Never Fight against the Soviet Union;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81963;PROROKOV, Boris 1911-72;Kayanemsya, chto narod frantsii nikogda ne budet voevat' protiv Sovetskogo Soiuza American Police Officers in Japan Amerikanskie zhandarmy v Yaponii;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81964;PROROKOV, Boris 1911-72;For Freedom, For Peace! Za svobodi, za mir!;1950;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81779;RODCHENKO, Aleksandr 1891-1956;From 'The History of the VKP(b) [All-Russian Communist Party (Bolshevik)] in Posters', no. 2 of a series of 25 posters;1926;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81785;RODCHENKO, Aleksandr 1891-1956;From 'The History of the VKP(b) [All-Russian Communist Party (Bolshevik)] in Posters', no. 3 of a series of 25 posters;1926;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81786;RODCHENKO, Aleksandr 1891-1956;From 'The History of the VKP(b) [All-Russian Communist Party (Bolshevik)] in Posters', no. 4 of a series of 25 posters;1926;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81787;RODCHENKO, Aleksandr 1891-1956;From 'The History of the VKP(b) [All-Russian Communist Party (Bolshevik)] in Posters', no. 6 of a series of 25 posters;1926;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81788;RODCHENKO, Aleksandr 1891-1956;From 'The History of the VKP(b) [All-Russian Communist Party (Bolshevik)] in Posters', no. 15 of a series of 25 posters;1926;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81857;RYAZHSKIKH, E.;"Under the Banner of Lenin, Under the
Leadership of Stalin, Onwards to a New
Blossoming of Our Soviet Motherland!";1950s;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
T14821;SAVITSKII, Georgii 1887-1949;The Red Army is a Liberator!;1944;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81722;"SHAGIN, Ivan 1904-1982
BEREZOVSKY, Boris 1910-1977";"We Stand for Peace and Uphold the the Cause of Peace Stalin; World Peace";1949;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81676;"SHASS, Yulii; KOBELEV, 1895-1946";"Lenin and Electrification. Communism is Soviet Power + Electrification. Volkhovstroi Give Us Power!
Lenin and Electrification - Communism is Soviet Power + Electrification - Volkhoustroi Give Us Power";1925;2016-2017 (DKC);purchased;""""; -     ; (Group) ;
P81689;SHCHERBAKOV, Valentin;A Spectre is Haunting Europe, the Spectre of Communism;c.1924;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81864;SHERVINSKII, Irina 1914-2005;We Will Raise You Strong and Healthy!;1952;2016-2017 (DKC);purchased;""""; -     ; (Unknown) ;
P81724;"EIGES, Olga 1910-1996
SHOENAUER, L.";The Revolutionary Committee of the Mongolian Soviet People's Republic;1931;2016-2017 (DKC);purchased;""""; -     ; (Female) ;
P81681;SILKIN, Boris;Join the Red Cavalry!;1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81694;SILKIN, Boris;"On Horse, Labourer and Peasants! The Red
Cavalry is the Guarantee of Our Victory!";1920;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81745;SIMAKOV, Ivan 1877-;Long Live the Proletarian Holiday - The First of May;1921;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81752;SIMAKOV, Ivan 1877-;On the 7th Anniversary of October Victory. Long Live the Unshakeable Iron Union of the Working Class and Peasantry!;1924;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
T14820;SOKOLOV,;Red and White Vortex;1970;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81638;SOKOLOV, Anatolii 1891-1971;Lenin, from an Azerbaijani newspaper;1922;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
P81750;SOKOLOV, Anatolii 1891-1971;Let the Ruling Classes Tremble before the Communist Revolution;1922;2016-2017 (DKC);purchased;""""; -     ; (Male) ;
