Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
P82348;MITCHELL, Peter born 1943;Brenda. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82349;MITCHELL, Peter born 1943;Spencer Place. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82350;MITCHELL, Peter born 1943;Leslie & his variously-named dog. Leeds, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82351;MITCHELL, Peter born 1943;Carters. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82352;MITCHELL, Peter born 1943;National School. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82353;MITCHELL, Peter born 1943;Kingston Racing Motors. Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82354;MITCHELL, Peter born 1943;The General Cemetery. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82355;MITCHELL, Peter born 1943;Bill Hemmings. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82356;MITCHELL, Peter born 1943;The Sir Yank Heavy Disco. Leeds, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82357;MITCHELL, Peter born 1943;Ready Mixed Concrete Ltd. Leeds, 1977;1977;2018-2019;purchased;""""; -     ; (Male) ;
P82358;MITCHELL, Peter born 1943;Utopia Planitia. Mars, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82359;MITCHELL, Peter born 1943;Fred Lomas. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82360;MITCHELL, Peter born 1943;Blindbacks. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82361;MITCHELL, Peter born 1943;Quarry Hill. Leeds, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82362;MITCHELL, Peter born 1943;Ex-church. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82363;MITCHELL, Peter born 1943;The New Peacock Inn. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82364;MITCHELL, Peter born 1943;Mr. Reuben. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82365;MITCHELL, Peter born 1943;Kings of the Earth - Do They Rule For Ever? London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82366;MITCHELL, Peter born 1943;Bill Henderson. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82367;MITCHELL, Peter born 1943;Scalemakers. London, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82368;MITCHELL, Peter born 1943;Scott, Dean, Neil & Gaudy the dog. Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82369;MITCHELL, Peter born 1943;Two Anonymous Ladies. Leeds, 1976;1976;2018-2019;purchased;""""; -     ; (Male) ;
P82370;MITCHELL, Peter born 1943;Fish Market. Leeds, 1976;1976;2018-2019;purchased;""""; -     ; (Male) ;
P82371;MITCHELL, Peter born 1943;Mrs. Collins & Mrs. Clayton. Leeds, 1974;1974;2018-2019;purchased;""""; -     ; (Male) ;
P82372;MITCHELL, Peter born 1943;Ex-Synagogue. Leeds, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82373;MITCHELL, Peter born 1943;Chryse Planitia Mars, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82374;MITCHELL, Peter born 1943;Frances Gaven. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82375;MITCHELL, Peter born 1943;Class 2H of Henry Fawcett J.M. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82376;MITCHELL, Peter born 1943;Max Babbin. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82377;MITCHELL, Peter born 1943;Funeral Parlour, London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82378;MITCHELL, Peter born 1943;St. James's Cemetery, Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82379;MITCHELL, Peter born 1943;Mr. Costas. London, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82380;MITCHELL, Peter born 1943;Dirty Bookshop, Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82381;MITCHELL, Peter born 1943;Morris Glyn, Woodturners. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82382;MITCHELL, Peter born 1943;Mr. Daniel. Leeds, 1976;1976;2018-2019;purchased;""""; -     ; (Male) ;
P82383;MITCHELL, Peter born 1943;Mr. Jakimavicius. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82384;MITCHELL, Peter born 1943;Opticians, London, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82385;MITCHELL, Peter born 1943;Mr. Gower. Leeds, 1975;1975;2018-2019;purchased;""""; -     ; (Male) ;
P82386;MITCHELL, Peter born 1943;Edna, George & Pat. Leeds, 1977;1977;2018-2019;purchased;""""; -     ; (Male) ;
P82387;MITCHELL, Peter born 1943;Station, Sheffield, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82388;MITCHELL, Peter born 1943;Noel and his Lads. Leeds, 1978;1978;2018-2019;purchased;""""; -     ; (Male) ;
P82389;MITCHELL, Peter born 1943;Kays Mail Order Warehouse. Leeds, 1979;1979;2018-2019;purchased;""""; -     ; (Male) ;
P82390;MITCHELL, Peter born 1943;Sunset, Lake District, 1977;1977;2018-2019;purchased;""""; -     ; (Male) ;
P82391;MITCHELL, Peter born 1943;Utopia Planitia. Mars, Sol 58;c.1974-9;2018-2019;purchased;""""; -     ; (Male) ;
P82272;MOFOKENG, Santu born 1956;Y'ello Freedom', Baragwanath Terminus - Diepkloof;c.2004, printed 2011;2018-2019;purchased;EUR 7,840 (£7,114.85); 7.114,85   ; (Male) ;
P82273;MOFOKENG, Santu born 1956;Potchefstroom Road, Soweto;2009, printed 2011;2018-2019;purchased;EUR 5,840 (£5,299.84); 5.299,84   ; (Male) ;
AR01264;MORIYAMA, Daido born 1938;Hokkaido;1979, produced 2017;2018-2019;presented;¥ 3,000,000 (£20,439); 20.439,00   ; (Male) ;
T15216;MORREAU, Jacqueline 1929-2016;She Who Spins;1983;2018-2019;presented;£18,000; 18.000,00   ; (Female) ;
T15087;MOSS, Marlow 1889-1958;Untitled;c.1950;2018-2019;purchased;£25,000; 25.000,00   ; (Non-Binary) ;
P82322;MOULÈNE, Jean-Luc born 1955;Ammunition Paris, 18 February 1991;2003;2018-2019;purchased;EUR 9,750 (£8,236.67); 8.236,67   ; (Male) ;
P82323;MOULÈNE, Jean-Luc born 1955;Nails Paris, 21 December 2003 Paris;2005;2018-2019;purchased;EUR 11,250 (£9,503.85); 9.503,85   ; (Male) ;
P82324;MOULÈNE, Jean-Luc born 1955;Fan New York, December 2011;2011;2018-2019;purchased;EUR 15,000 (£12,671.80); 12.671,80   ; (Male) ;
P82325;MOULÈNE, Jean-Luc born 1955;Tuft Mill of Chivres, 28 February 2009;2011;2018-2019;purchased;EUR 12,000 (£10,137.44); 10.137,44   ; (Male) ;
P82326;MOULÈNE, Jean-Luc born 1955;Necro doily Le Guilvinec, 29 October 2008;2011;2018-2019;purchased;EUR 8,250 (£6,969.49); 6.969,49   ; (Male) ;
T15160;MOULÈNE, Jean-Luc born 1955;Blown Knot 6 32 (Borromean) Varia 09;2013;2018-2019;purchased;EUR 30,000 (£25,343.59); 25.343,59   ; (Male) ;
T15161;MOULÈNE, Jean-Luc born 1955;Silver Puke, Paris, Paris 2013;2013;2018-2019;purchased;EUR 30,000 (£25,343.59); 25.343,59   ; (Male) ;
T15162;MOULÈNE, Jean-Luc born 1955;Piggy;2016;2018-2019;purchased;EUR 33,750 (£28,511.54); 28.511,54   ; (Male) ;
T15163;MOULÈNE, Jean-Luc born 1955;Moiré Main, Machine 1 (Paris, 2017);2017;2018-2019;purchased;EUR 46,145 (£40,426.27); 40.426,27   ; (Male) ;
T15055;NASHASHIBI, Rosalind born 1973;Vivian's Garden;2017;2018-2019;purchased;£17,250; 17.250,00   ; (Female) ;
T15054;NASHASHIBI/SKAER born 1973/ born 1975;Why Are You Angry?;2017;2018-2019;purchased;£12,000; 12.000,00   ; (Group) ;
P82221;ONOBRAKPEYA, Bruce born 1932; Jesus and the women of Jerusalem;1969;2018-2019;purchased;£20,000 for whole package; 20.000,00   ; (Male) ;
P82222;ONOBRAKPEYA, Bruce born 1932;Jesus' clothes are torn off;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82223;ONOBRAKPEYA, Bruce born 1932;Jesus dies on the cross;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82224;ONOBRAKPEYA, Bruce born 1932;Jesus falls the first time;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82225;ONOBRAKPEYA, Bruce born 1932;Jesus falls the second time;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82226;ONOBRAKPEYA, Bruce born 1932;Jesus falls the third time;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82227;ONOBRAKPEYA, Bruce born 1932;Jesus is condemned to death;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82228;ONOBRAKPEYA, Bruce born 1932;Jesus is laid in the tomb;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82229;ONOBRAKPEYA, Bruce born 1932;Jesus is nailed to the cross;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82230;ONOBRAKPEYA, Bruce born 1932;Jesus is taken from the cross;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82231;ONOBRAKPEYA, Bruce born 1932;Jesus meets his mother;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82232;ONOBRAKPEYA, Bruce born 1932;Jesus takes his cross;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82233;ONOBRAKPEYA, Bruce born 1932;Simon of Cyrene helps Jesus;1969;2018-2019;purchased;""""; -     ; (Male) ;
P82234;ONOBRAKPEYA, Bruce born 1932;Veronica wipes Jesus' face;1969;2018-2019;purchased;""""; -     ; (Male) ;
T15204;ONOBRAKPEYA, Bruce born 1932;The Last Supper;1981;2018-2019;purchased;US $52,000 (£40,181.72); 40.181,72   ; (Male) ;
T15137;ONODA, Minoru 1937-2008;WORK62-W;1962;2018-2019;purchased;US $140,000 (£109,789.80); 109.789,80   ; (Male) ;
P82274;OTSUJI, Kiyoji 1923-2001;Shiraga Kazuo demonstrating his signature painting style,2nd Gutai Exhibition;1956, printed 2012;2018-2019;purchased;US $32,000 (£24,727.21) for whole package; 24.727,21   ; (Male) ;
